Week	Start Date	End Date	Topic(s)
1	1/18/2022	1/21/2022	<ul> <li>No Lab during first week</li> </ul>
2	1/24/2022	1/28/2022	<ul> <li>introductions</li> <li>syllabus</li> <li>pretest</li> <li>group research projects</li> <li>"do's and don'ts on Google Forms"</li> </ul>
3	1/31/2022	2/4/2022	<ul> <li>*jamovi* (familiarization; basic operations)</li> <li>practice peer review</li> </ul>
4	2/7/2022	2/11/2022	<ul> <li>*jamovi* (descriptive statistics; data visualization</li> <li>**PEER REVIEW** of *Writing Assignment #1* (*Introduction*)</li> </ul>
5	2/14/2022	2/18/2022	<ul> <li>research projects (preparing data for analysis; Cronbach's Alpha)</li> <li>writing (writing *Method* sections)</li> </ul>
6	2/21/2022	2/25/2022	<ul> <li>research projects (final steps before analysis)</li> <li>peer review practice</li> </ul>
7	2/28/2022	3/4/2022	<ul> <li>chi-square (basic analyses; advanced analyses are optional)</li> <li>**PEER REVIEW** of *Writing Assignment #2* (*Method*)</li> </ul>
8	3/7/2022	3/11/2022	<ul> <li>*jamovi* (independent-samples *t*-test)</li> <li>writing (writing *Results* sections)</li> </ul>
9	3/14/2022	3/18/2022	SPRING BREAK - no classes
10	3/21/2022	3/25/2022	<ul> <li>*jamovi* (oneway ANOVAs)</li> <li>writing (*Discussion* sections)</li> </ul>
11	3/28/2022	4/1/2022	<ul> <li>*jamovi* (correlations)</li> <li>**PEER REVIEW** of *Writing Assignment #3* (*Study 1: Results & Discussion*)</li> </ul>
12	4/4/2022	4/8/2022	<ul> <li>*jamovi* (linear regression)</li> <li>writing (*Results* & *Discussion* sections for correlation and regression)</li> </ul>
13	4/11/2022	4/15/2022	<ul> <li>paired-samples *t*-tests</li> <li>writing the *General Discussion* section</li> </ul>
14	4/18/2022	4/22/2022	<ul> <li>**PEER REVIEW** of *Writing Assignment #4* (*Study 2: Results & Discussion*; *General Discussion*)</li> <li>factorial ANOVA</li> </ul>
15	4/25/2022	4/29/2022	<ul> <li>Course Evaluations | Posttest</li> </ul>
16	5/2/2022	5/3/2022	<ul> <li>Tuesday is Redefined Day [Friday classes] (no lab)</li> <li>Wednesday is Reading Day (no lab)</li> </ul>